Country,Clicks,Impressions,CTR,Position
Morocco,65,4377,1.49%,22.78
France,3,259,1.16%,14.61
Georgia,3,3,100%,27
Italy,1,31,3.23%,6.45
Belgium,1,16,6.25%,15.38
Bangladesh,1,6,16.67%,6
Syria,1,1,100%,20
United States,0,1048,0%,8.74
Netherlands,0,63,0%,6.56
Canada,0,48,0%,8.94
Germany,0,41,0%,6.44
Brazil,0,34,0%,8.47
Spain,0,26,0%,9.27
Switzerland,0,23,0%,9.61
United Kingdom,0,20,0%,21.6
India,0,17,0%,17.53
Portugal,0,17,0%,22.65
China,0,15,0%,5.87
Mexico,0,15,0%,6.07
Indonesia,0,13,0%,7
Vietnam,0,12,0%,17.25
Singapore,0,11,0%,7.55
Russia,0,9,0%,7.44
Algeria,0,9,0%,8.78
Saudi Arabia,0,9,0%,33.89
Egypt,0,8,0%,6.75
Senegal,0,7,0%,2.29
South Korea,0,7,0%,7.43
Argentina,0,7,0%,12.57
Japan,0,6,0%,7.83
United Arab Emirates,0,6,0%,8.17
Australia,0,5,0%,3.4
Colombia,0,5,0%,5
Ukraine,0,5,0%,5.4
Philippines,0,5,0%,6
Ireland,0,5,0%,6.4
Greece,0,5,0%,39.6
Tunisia,0,4,0%,4
Hong Kong,0,4,0%,6
Thailand,0,3,0%,5.67
Poland,0,3,0%,6
Denmark,0,3,0%,7.33
Malaysia,0,3,0%,8.33
South Africa,0,3,0%,8.67
Israel,0,3,0%,10.33
Dominican Republic,0,3,0%,11
Norway,0,3,0%,12.33
Peru,0,3,0%,18.67
Iraq,0,3,0%,20.67
Benin,0,3,0%,58
Ecuador,0,2,0%,2
Unknown Region,0,2,0%,3
Taiwan,0,2,0%,3.5
Nigeria,0,2,0%,4
Turkey,0,2,0%,4.5
Czechia,0,2,0%,6.5
Pakistan,0,2,0%,7.5
Guinea,0,2,0%,8
Austria,0,2,0%,8.5
Sweden,0,2,0%,9.5
Luxembourg,0,2,0%,72
Western Sahara,0,1,0%,1
Congo - Brazzaville,0,1,0%,2
Lithuania,0,1,0%,2
Puerto Rico,0,1,0%,2
Qatar,0,1,0%,2
Trinidad & Tobago,0,1,0%,2
Bulgaria,0,1,0%,3
Bolivia,0,1,0%,3
Estonia,0,1,0%,3
Hungary,0,1,0%,4
Paraguay,0,1,0%,4
Venezuela,0,1,0%,4
Palestine,0,1,0%,5
Serbia,0,1,0%,5
Uganda,0,1,0%,5
Kosovo,0,1,0%,5
Croatia,0,1,0%,6
Iran,0,1,0%,6
Nicaragua,0,1,0%,6
Finland,0,1,0%,7
Honduras,0,1,0%,7
Latvia,0,1,0%,7
Cameroon,0,1,0%,8
Uruguay,0,1,0%,8
Congo - Kinshasa,0,1,0%,9
Libya,0,1,0%,9
Andorra,0,1,0%,10
Belarus,0,1,0%,10
Grenada,0,1,0%,11
Kyrgyzstan,0,1,0%,37
New Zealand,0,1,0%,86